iter	Passed	Remaining
268	3611	9814
269	3619	9784
270	3630	9765
271	3643	9751
272	3651	9724
273	3664	9710
274	3687	9720
275	3707	9726
276	3729	9734
277	3737	9706
278	3749	9690
279	3756	9658
280	3765	9633
281	3773	9607
282	3780	9577
283	3785	9544
284	3792	9514
285	3799	9486
286	3805	9452
287	3811	9423
288	3818	9394
289	3826	9368
290	3836	9347
291	3842	9317
292	3852	9296
293	3860	9271
294	3871	9252
295	3892	9258
296	3914	9265
297	3929	9256
298	3942	9242
299	3957	9233
300	3967	9214
301	3980	9200
302	3994	9189
303	4004	9169
304	4016	9152
305	4028	9136
306	4038	9115
307	4058	9118
308	4074	9112
309	4086	9096
310	4098	9079
311	4112	9068
312	4125	9054
313	4137	9040
314	4146	9016
315	4153	8991
316	4162	8968
317	4171	8946
318	4177	8917
319	4183	8889
320	4188	8859
321	4192	8828
322	4196	8796
323	4204	8771
324	4211	8747
325	4216	8718
326	4223	8692
327	4227	8661
328	4232	8632
329	4238	8604
330	4242	8575
331	4247	8545
332	4252	8517
333	4258	8490
334	4263	8463
335	4269	8437
336	4274	8410
337	4280	8383
338	4287	8360
339	4293	8335
340	4300	8311
341	4308	8289
342	4316	8267
343	4326	8251
344	4344	8247
345	4353	8228
346	4369	8223
347	4389	8224
348	4414	8233
349	4433	8233
350	4456	8239
351	4476	8240
352	4491	8231
353	4505	8221
354	4519	8211
355	4528	8192
356	4542	8181
357	4560	8177
358	4573	8166
359	4581	8145
360	4591	8126
361	4596	8100
362	4606	8083
363	4626	8083
364	4652	8094
365	5638	9767
366	5773	9958
367	5845	10038
368	5864	10028
369	6061	10321
370	6512	11040
371	6606	11153
372	6677	11224
373	6719	11246
374	6729	11215
375	6739	11184
376	6746	11148
377	6754	11114
378	6760	11077
379	6768	11042
380	6774	11006
381	6782	10973
382	6794	10945
383	6806	10919
384	6819	10892
385	6833	10870
386	6847	10846
387	6862	10824
388	6872	10794
389	6884	10768
390	6896	10741
391	6905	10710
392	6918	10686
393	6929	10658
394	6936	10624
395	6947	10596
396	6957	10567
397	6965	10535
398	6977	10510
399	7001	10502
400	7011	10474
401	7021	10444
402	7030	10414
403	7040	10386
404	7051	10359
